"%d cache(s) have been flushed successfully.","成功清空了%d项缓存。"
"All caches have been flushed successfully.","成功清空了所有缓存。"
"CSS Cache has been pudged successfully.","CSS缓存清理成功。"
"Image Cache has been pudged successfully.","图片缓存清理成功。"
"Pudge CSS Cache","清除CSS缓存"
"Pudge Image Cache","清除图片缓存"
"DATA","数据缓存"
"I18N","国际化"
"INDEX","索引缓存"
"INVENTORY","产品库存"
"LAYOUT_RENDERED","布局缓存"
"OAUTH","OAuth"
"RBAC_ROLE","权限结构"
"ROUTE_CACHE","路由缓存"
"STAT","统计数据"
"SYSTEM_CONFIG","系统配置"
"TABLE_DESCRIPTION","数据表结构"
"TRANSLATOR_PAIRS","翻译对组"
"VIEWMODEL_RENDERED","页面渲染"
